t(us) chan[0] chan[1] chan[2] chan[3]
0.000000 -297435 -291444 8344843 6614392
250.000000 -297568 -291361 8347303 6625312
500.000000 -297531 -291322 8348070 6632026
750.000000 -297503 -291278 8357257 6637655
1000.000000 -297533 -291299 8372071 6640756
1250.000000 -297481 -291349 8383782 6648333
1500.000000 -297502 -291322 8388607 6666468
1750.000000 -297468 -291264 8388607 6677391
2000.000000 -297457 -291253 8388607 6686436
2250.000000 -297516 -291222 8388607 6689957
2500.000000 -297513 -291242 8388607 6689065
2750.000000 -297553 -291174 8388607 6685662
3000.000000 -297532 -291131 8388607 6673536
3250.000000 -297526 -291167 8388607 6669186
3500.000000 -297503 -291190 8388607 6672336
3750.000000 -297466 -291146 8388607 6679912
4000.000000 -297463 -291202 8388607 6676256
4250.000000 -297494 -291222 8388607 6673678
4500.000000 -297501 -291221 8388607 6667987
4750.000000 -297480 -291200 8388607 6658172
5000.000000 -297491 -291221 8388607 6655738
5250.000000 -297462 -291214 8385673 6649503
5500.000000 -297468 -291233 8383390 6643704
5750.000000 -297475 -291255 8373237 6641286
6000.000000 -297493 -291216 8371242 6639575
6250.000000 -297508 -291251 8372632 6640279
6500.000000 -297530 -291247 8371893 6640134
6750.000000 -297583 -291217 8375575 6639246
7000.000000 -297542 -291218 8372474 6643166
7250.000000 -297517 -291266 8375144 6653841
7500.000000 -297478 -291252 8383949 6660721
7750.000000 -297533 -291265 8382671 6663493
8000.000000 -297529 -291255 8380590 6658996
8250.000000 -297493 -291253 8372380 6657334
8500.000000 -297517 -291265 8369709 6649669
8750.000000 -297514 -291226 8366016 6645002
9000.000000 -297488 -291241 8364042 6637202
9250.000000 -297494 -291268 8350832 6631469
9500.000000 -297553 -291323 8333976 6624445
9750.000000 -297516 -291355 8314149 6621222
10000.000000 -297487 -291391 8298618 6607986
10250.000000 -297549 -291346 8293331 6595661
10500.000000 -297517 -291334 8287297 6587198
10750.000000 -297442 -291426 8273548 6581717
11000.000000 -297449 -291428 8262313 6565997
11250.000000 -297484 -291455 8247726 6560452
11500.000000 -297463 -291482 8242655 6556217
11750.000000 -297450 -291480 8240521 6549285
12000.000000 -297473 -291451 8239108 6538053
12250.000000 -297537 -291499 8230187 6535364
12500.000000 -297536 -291503 8227797 6539213
12750.000000 -297520 -291549 8225206 6535288
13000.000000 -297488 -291516 8224502 6536745
13250.000000 -297497 -291511 8227093 6538772
13500.000000 -297474 -291557 8228627 6542191
13750.000000 -297535 -291523 8230314 6549666
14000.000000 -297462 -291493 8229058 6544984
14250.000000 -297468 -291503 8234726 6544434
14500.000000 -297468 -291494 8240714 6548960
14750.000000 -297487 -291492 8240518 6551028
15000.000000 -297495 -291552 8245330 6559336
15250.000000 -297493 -291554 8257113 6565121
15500.000000 -297479 -291538 8259448 6571176
15750.000000 -297442 -291478 8257882 6566042
16000.000000 -297523 -291457 8258073 6557538
16250.000000 -297502 -291490 8262248 6566374
16500.000000 -297469 -291512 8271216 6573382
16750.000000 -297564 -291590 8270102 6569337
17000.000000 -297589 -291528 8264190 6566688
17250.000000 -297614 -291558 8254978 6556627
17500.000000 -297608 -291525 8254646 6555721
17750.000000 -297517 -291456 8250473 6556715
18000.000000 -297586 -291496 8249323 6564329
18250.000000 -297544 -291506 8258229 6566416
18500.000000 -297499 -291573 8265080 6569597
18750.000000 -297444 -291542 8277952 6576237
19000.000000 -297484 -291502 8291359 6583865
19250.000000 -297558 -291495 8301155 6589069
19500.000000 -297493 -291459 8313245 6591298
19750.000000 -297485 -291443 8321530 6593377
20000.000000 -297517 -291415 8325699 6611231
20250.000000 -297529 -291366 8336528 6621829
20500.000000 -297551 -291334 8346574 6632085
20750.000000 -297470 -291332 8355280 6640950
21000.000000 -297428 -291336 8364524 6638548
21250.000000 -297484 -291269 8373521 6636063
21500.000000 -297482 -291299 8388327 6646330
21750.000000 -297518 -291309 8388607 6654601
22000.000000 -297516 -291277 8388607 6661667
22250.000000 -297517 -291247 8388607 6665637
22500.000000 -297584 -291283 8388607 6666833
22750.000000 -297537 -291291 8388607 6670291
23000.000000 -297549 -291225 8388607 6670982
23250.000000 -297510 -291241 8388607 6670563
23500.000000 -297508 -291263 8388607 6673459
23750.000000 -297538 -291261 8388607 6675762
24000.000000 -297512 -291220 8388607 6667835
24250.000000 -297575 -291233 8388607 6665334
24500.000000 -297573 -291234 8388607 6659922
24750.000000 -297473 -291237 8388607 6650849
25000.000000 -297463 -291247 8386358 6644806
25250.000000 -297516 -291246 8380260 6645817
25500.000000 -297434 -291225 8377530 6645925
25750.000000 -297504 -291247 8373110 6645274
26000.000000 -297557 -291299 8370522 6644139
26250.000000 -297485 -291271 8363041 6650547
26500.000000 -297526 -291232 8360578 6646940
26750.000000 -297525 -291171 8369709 6645978
27000.000000 -297479 -291241 8377203 6647894
27250.000000 -297495 -291293 8375137 6651990
27500.000000 -297524 -291312 8377663 6651735
27750.000000 -297567 -291260 8379568 6652370
28000.000000 -297525 -291192 8377567 6655651
28250.000000 -297486 -291222 8372697 6647756
28500.000000 -297535 -291289 8372453 6640092
28750.000000 -297525 -291250 8360174 6637171
29000.000000 -297548 -291225 8348282 6638712
29250.000000 -297509 -291287 8342642 6634701
29500.000000 -297510 -291304 8333302 6613839
29750.000000 -297510 -291324 8314573 6604990
30000.000000 -297473 -291309 8297441 6607048
30250.000000 -297490 -291315 8290046 6597699
30500.000000 -297539 -291404 8277733 6594917
30750.000000 -297459 -291384 8273469 6586961
