t(us) chan[0] chan[1] chan[2] chan[3]
32500.000000 -298545 -298834 2528787 1063730
32750.000000 -298613 -298909 2529034 1062034
33000.000000 -298551 -298871 2525832 1061741
33250.000000 -298555 -298835 2519374 1056815
33500.000000 -298574 -298774 2521692 1051336
33750.000000 -298542 -298796 2516885 1042924
34000.000000 -298605 -298812 2516948 1037406
34250.000000 -298540 -298821 2523609 1034491
34500.000000 -298495 -298828 2515844 1028153
34750.000000 -298511 -298755 2508575 1020414
35000.000000 -298537 -298791 2505841 1015119
35250.000000 -298518 -298829 2504369 1006708
35500.000000 -298461 -298749 2505645 992426
35750.000000 -298487 -298791 2503679 999903
36000.000000 -298512 -298806 2504135 1011473
36250.000000 -298538 -298805 2506961 1015765
36500.000000 -298494 -298855 2512112 1014034
36750.000000 -298469 -298762 2514722 1012777
37000.000000 -298528 -298811 2512393 1010221
37250.000000 -298497 -298830 2507394 996752
37500.000000 -298484 -298789 2493541 987769
37750.000000 -298490 -298812 2492318 967952
38000.000000 -298518 -298833 2490215 951264
38250.000000 -298505 -298843 2476932 932173
38500.000000 -298454 -298882 2474627 913498
38750.000000 -298513 -298885 2474302 899722
39000.000000 -298532 -298841 2464061 881543
39250.000000 -298545 -298848 2452596 863723
39500.000000 -298526 -298809 2451296 845579
39750.000000 -298538 -298884 2449530 833725
40000.000000 -298594 -298910 2435474 814801
40250.000000 -298504 -298886 2425034 796434
40500.000000 -298502 -298876 2421233 783706
40750.000000 -298531 -298841 2418429 771462
41000.000000 -298505 -298827 2418916 767069
41250.000000 -298536 -298912 2413954 763267
41500.000000 -298485 -298899 2409563 755027
41750.000000 -298483 -298874 2413034 748742
42000.000000 -298469 -298884 2419465 745653
42250.000000 -298467 -298843 2418427 759740
42500.000000 -298543 -298877 2410112 761578
42750.000000 -298505 -299005 2408289 757832
43000.000000 -298416 -298931 2413295 765248
43250.000000 -298388 -298846 2419460 766460
43500.000000 -298465 -298846 2424681 770209
43750.000000 -298479 -298857 2424220 773621
44000.000000 -298444 -298807 2427260 781243
44250.000000 -298512 -298889 2429131 794446
44500.000000 -298474 -298873 2442083 800698
44750.000000 -298487 -298808 2450348 797289
45000.000000 -298473 -298789 2450506 805939
45250.000000 -298496 -298858 2447331 814416
45500.000000 -298508 -298866 2443290 816501
45750.000000 -298517 -298829 2435865 815113
46000.000000 -298525 -298925 2427312 811733
46250.000000 -298546 -298885 2430635 808925
46500.000000 -298552 -298819 2428958 798802
46750.000000 -298521 -298954 2427404 795522
47000.000000 -298514 -298903 2433593 798799
47250.000000 -298529 -298816 2441905 811021
47500.000000 -298436 -298762 2439688 823456
47750.000000 -298498 -298871 2444203 841816
48000.000000 -298515 -298874 2447430 856053
48250.000000 -298548 -298915 2449615 871530
48500.000000 -298501 -298852 2454957 893931
48750.000000 -298576 -298850 2464407 911958
49000.000000 -298535 -298842 2471071 926586
49250.000000 -298467 -298840 2477531 945830
49500.000000 -298575 -298839 2486142 968454
49750.000000 -298577 -298865 2502530 991020
50000.000000 -298533 -298838 2510738 1008134
50250.000000 -298541 -298773 2515277 1020921
50500.000000 -298521 -298809 2515587 1033711
50750.000000 -298526 -298807 2523787 1044113
51000.000000 -298520 -298797 2524879 1058889
51250.000000 -298448 -298762 2528690 1061949
51500.000000 -298516 -298798 2525629 1055185
51750.000000 -298559 -298748 2521621 1054040
52000.000000 -298571 -298746 2523386 1050054
52250.000000 -298499 -298733 2530913 1049757
52500.000000 -298515 -298803 2524009 1053559
52750.000000 -298504 -298783 2521478 1055326
53000.000000 -298538 -298788 2524642 1055328
53250.000000 -298541 -298856 2524114 1050418
53500.000000 -298548 -298791 2517826 1046810
53750.000000 -298569 -298824 2512170 1037270
54000.000000 -298567 -298820 2513461 1027331
54250.000000 -298538 -298783 2513361 1031023
54500.000000 -298539 -298738 2509625 1025168
54750.000000 -298501 -298795 2517156 1014200
55000.000000 -298488 -298845 2510998 1009374
55250.000000 -298523 -298841 2501331 1002418
55500.000000 -298536 -298741 2498688 997560
55750.000000 -298546 -298768 2501874 1002992
