t(us) chan[0] chan[1] chan[2] chan[3]
0.000000 -297913 -295504 5530875 3987077
250.000000 -297867 -295484 5536553 3984542
500.000000 -297816 -295553 5532893 3988302
750.000000 -297826 -295537 5527802 3993759
1000.000000 -297804 -295500 5528873 3992245
1250.000000 -297855 -295542 5526458 3985775
1500.000000 -297909 -295544 5534182 3985895
1750.000000 -297901 -295511 5539994 3975999
2000.000000 -297838 -295486 5536095 3978192
2250.000000 -297863 -295516 5530878 3985415
2500.000000 -297858 -295547 5526887 3975224
2750.000000 -297874 -295563 5519518 3957298
3000.000000 -297846 -295528 5516060 3956671
3250.000000 -297828 -295518 5517334 3951587
3500.000000 -297766 -295587 5522892 3943759
3750.000000 -297842 -295581 5512317 3941452
4000.000000 -297920 -295579 5505879 3936127
4250.000000 -297895 -295592 5510693 3934094
4500.000000 -297844 -295477 5508989 3935966
4750.000000 -297891 -295479 5508106 3938503
5000.000000 -297869 -295522 5518285 3948179
5250.000000 -297840 -295562 5523363 3953887
5500.000000 -297894 -295543 5521382 3955050
5750.000000 -297887 -295490 5519831 3961332
6000.000000 -297954 -295506 5516099 3955862
6250.000000 -297901 -295519 5510311 3940113
6500.000000 -297852 -295523 5502602 3919681
6750.000000 -297852 -295511 5494000 3910010
7000.000000 -297902 -295611 5482010 3889369
7250.000000 -297853 -295611 5482501 3859585
7500.000000 -297884 -295609 5484112 3835615
7750.000000 -297903 -295589 5482959 3818247
8000.000000 -297816 -295628 5474672 3803466
8250.000000 -297901 -295591 5464626 3789320
8500.000000 -297886 -295626 5462752 3771514
8750.000000 -297824 -295635 5463457 3749376
9000.000000 -297819 -295658 5450224 3730081
9250.000000 -297772 -295667 5437223 3721479
9500.000000 -297817 -295688 5438114 3715523
9750.000000 -297855 -295725 5442393 3705008
10000.000000 -297834 -295648 5430842 3695117
10250.000000 -297864 -295627 5417415 3689381
10500.000000 -297885 -295732 5425548 3686989
10750.000000 -297848 -295747 5437251 3682467
11000.000000 -297853 -295687 5434415 3683282
11250.000000 -297811 -295717 5433532 3679325
11500.000000 -297870 -295707 5429364 3676779
11750.000000 -297857 -295748 5419163 3683961
12000.000000 -297807 -295706 5423196 3693875
12250.000000 -297856 -295674 5431847 3695286
12500.000000 -297862 -295698 5426515 3702694
12750.000000 -297819 -295709 5431292 3715882
13000.000000 -297850 -295693 5434183 3709311
13250.000000 -297874 -295689 5431236 3713396
13500.000000 -297890 -295615 5437518 3728188
13750.000000 -297863 -295623 5436239 3736511
14000.000000 -297849 -295721 5444933 3742991
14250.000000 -297858 -295689 5443387 3743702
14500.000000 -297910 -295666 5442727 3746646
14750.000000 -297827 -295694 5444529 3748114
15000.000000 -297921 -295691 5445666 3741567
15250.000000 -297901 -295695 5444773 3734125
15500.000000 -297826 -295656 5440647 3733320
15750.000000 -297863 -295594 5433801 3728734
16000.000000 -297900 -295654 5441737 3724397
16250.000000 -297849 -295704 5448205 3735203
16500.000000 -297858 -295695 5454090 3753932
16750.000000 -297791 -295631 5453662 3775388
17000.000000 -297787 -295590 5456153 3797383
17250.000000 -297846 -295638 5469893 3815954
17500.000000 -297904 -295597 5477589 3831285
17750.000000 -297846 -295609 5488967 3848885
18000.000000 -297818 -295583 5494177 3866211
18250.000000 -297801 -295543 5503244 3886076
18500.000000 -297844 -295543 5508052 3907133
18750.000000 -297774 -295631 5507375 3919618
