t(us) chan[0] chan[1] chan[2] chan[3]
0.000000 -298211 -298330 3257663 1608113
250.000000 -298221 -298294 3252254 1618008
500.000000 -298228 -298355 3256145 1627175
750.000000 -298265 -298370 3265927 1631589
1000.000000 -298268 -298359 3266128 1640288
1250.000000 -298259 -298342 3262338 1655699
1500.000000 -298258 -298365 3265604 1661986
1750.000000 -298266 -298312 3272553 1660664
2000.000000 -298162 -298328 3266491 1663210
2250.000000 -298160 -298318 3269399 1655559
2500.000000 -298191 -298379 3270579 1643485
2750.000000 -298262 -298310 3265951 1635230
3000.000000 -298280 -298311 3261876 1641047
3250.000000 -298225 -298337 3259008 1643335
3500.000000 -298235 -298340 3264915 1645234
3750.000000 -298227 -298260 3262376 1651570
4000.000000 -298200 -298353 3270395 1668171
4250.000000 -298187 -298222 3282619 1687085
4500.000000 -298177 -298205 3293640 1698346
4750.000000 -298127 -298260 3296418 1715875
5000.000000 -298102 -298291 3298898 1736750
5250.000000 -298173 -298256 3301368 1756932
5500.000000 -298244 -298199 3307454 1763019
5750.000000 -298148 -298163 3321271 1773015
6000.000000 -298123 -298196 3330189 1799177
6250.000000 -298153 -298202 3341259 1819813
6500.000000 -298177 -298151 3344523 1830182
6750.000000 -298151 -298179 3342748 1847549
7000.000000 -298198 -298191 3348964 1862990
7250.000000 -298218 -298235 3353468 1875781
7500.000000 -298218 -298176 3348536 1888001
7750.000000 -298247 -298184 3352004 1887378
8000.000000 -298188 -298151 3357107 1883652
8250.000000 -298222 -298151 3348403 1880061
8500.000000 -298268 -298133 3342258 1884322
8750.000000 -298228 -298132 3348235 1888112
9000.000000 -298173 -298175 3354016 1891244
9250.000000 -298183 -298150 3361675 1891556
9500.000000 -298159 -298123 3358361 1886496
9750.000000 -298104 -298111 3350277 1879846
10000.000000 -298125 -298103 3344982 1875885
10250.000000 -298144 -298081 3340338 1879022
10500.000000 -298147 -298185 3331383 1873567
10750.000000 -298170 -298164 3335389 1866858
11000.000000 -298140 -298126 3334666 1854219
11250.000000 -298241 -298178 3329942 1841716
11500.000000 -298214 -298153 3333315 1833141
11750.000000 -298111 -298168 3337379 1833025
12000.000000 -298109 -298141 3334312 1832537
12250.000000 -298185 -298270 3331570 1832946
12500.000000 -298155 -298219 3338953 1834430
12750.000000 -298184 -298139 3340423 1847067
13000.000000 -298233 -298166 3337957 1859541
13250.000000 -298175 -298203 3344238 1857369
13500.000000 -298147 -298239 3343394 1841898
13750.000000 -298199 -298178 3342412 1832806
14000.000000 -298156 -298162 3337659 1819938
14250.000000 -298208 -298168 3335882 1798999
14500.000000 -298222 -298184 3328614 1780881
14750.000000 -298293 -298096 3312451 1763685
15000.000000 -298281 -298145 3301648 1744139
15250.000000 -298185 -298188 3294048 1726955
15500.000000 -298183 -298176 3285805 1709158
15750.000000 -298178 -298253 3274492 1689244
16000.000000 -298220 -298294 3269173 1677530
16250.000000 -298208 -298302 3263688 1659797
16500.000000 -298210 -298256 3256838 1640153
16750.000000 -298176 -298274 3253213 1631200
17000.000000 -298206 -298301 3252739 1623397
17250.000000 -298166 -298307 3248374 1605488
17500.000000 -298216 -298331 3245289 1598517
17750.000000 -298198 -298345 3242607 1602423
18000.000000 -298249 -298304 3237028 1596234
18250.000000 -298188 -298312 3236351 1591891
18500.000000 -298163 -298355 3239946 1585983
18750.000000 -298191 -298354 3247564 1587449
19000.000000 -298233 -298347 3248602 1595753
19250.000000 -298230 -298371 3242059 1597753
19500.000000 -298243 -298335 3241208 1594318
19750.000000 -298230 -298294 3244360 1593930
20000.000000 -298247 -298338 3249677 1602655
20250.000000 -298226 -298361 3256891 1609287
20500.000000 -298233 -298335 3257896 1613746
20750.000000 -298224 -298293 3251611 1620269
21000.000000 -298211 -298302 3256449 1626834
21250.000000 -298218 -298310 3265084 1638296
21500.000000 -298218 -298274 3266091 1645653
21750.000000 -298200 -298303 3258338 1645963
22000.000000 -298243 -298291 3255794 1650551
