t(us) chan[0] chan[1] chan[2] chan[3]
0.000000 -297812 -292533 7600651 5939615
250.000000 -297793 -292655 7588599 5941750
500.000000 -297759 -292632 7578266 5941148
750.000000 -297752 -292625 7564694 5917631
1000.000000 -297728 -292646 7554099 5901512
1250.000000 -297712 -292673 7543254 5899044
1500.000000 -297736 -292699 7531999 5897706
1750.000000 -297755 -292733 7529127 5890155
2000.000000 -297784 -292701 7528779 5884824
2250.000000 -297798 -292739 7523690 5881362
2500.000000 -297791 -292772 7510561 5885078
2750.000000 -297803 -292761 7506002 5890522
3000.000000 -297753 -292805 7517702 5898474
3250.000000 -297702 -292823 7524392 5895427
3500.000000 -297773 -292789 7524604 5898027
3750.000000 -297826 -292770 7519466 5893882
4000.000000 -297796 -292783 7516719 5897949
4250.000000 -297723 -292752 7525197 5903097
4500.000000 -297842 -292773 7529598 5909014
4750.000000 -297816 -292809 7526659 5909930
5000.000000 -297764 -292801 7524732 5909199
5250.000000 -297780 -292791 7537198 5914568
5500.000000 -297791 -292760 7545211 5919163
5750.000000 -297857 -292732 7545360 5925105
6000.000000 -297731 -292745 7553766 5928142
6250.000000 -297725 -292753 7555744 5926438
6500.000000 -297835 -292753 7562025 5932425
6750.000000 -297779 -292742 7565406 5942125
7000.000000 -297803 -292807 7567614 5934856
7250.000000 -297800 -292742 7559976 5920656
7500.000000 -297817 -292705 7550983 5919159
7750.000000 -297835 -292731 7545585 5918647
8000.000000 -297838 -292769 7538071 5920844
8250.000000 -297859 -292733 7534874 5926987
8500.000000 -297854 -292737 7536803 5924161
8750.000000 -297813 -292769 7549498 5920485
9000.000000 -297807 -292718 7568717 5926631
9250.000000 -297844 -292693 7574214 5930536
9500.000000 -297868 -292724 7580839 5933940
9750.000000 -297832 -292760 7598855 5941443
10000.000000 -297811 -292667 7604314 5949853
10250.000000 -297854 -292643 7612524 5962563
10500.000000 -297875 -292596 7624548 5977804
10750.000000 -297902 -292579 7636214 5984714
11000.000000 -297902 -292542 7650929 5990610
11250.000000 -297844 -292552 7657240 5996482
11500.000000 -297777 -292568 7663326 6002744
11750.000000 -297846 -292613 7672190 6004577
12000.000000 -297881 -292610 7681241 6005555
12250.000000 -297843 -292591 7687283 6002537
12500.000000 -297863 -292517 7697280 5998972
12750.000000 -297845 -292484 7703275 6004410
13000.000000 -297843 -292477 7701134 6012554
13250.000000 -297807 -292510 7692161 6008395
13500.000000 -297823 -292490 7686570 6005876
13750.000000 -297786 -292515 7690190 6008060
14000.000000 -297832 -292508 7686480 5994391
14250.000000 -297790 -292420 7689476 5990924
14500.000000 -297832 -292460 7687053 5999349
14750.000000 -297852 -292548 7683432 6001985
15000.000000 -297857 -292535 7674882 5994950
15250.000000 -297865 -292616 7674207 5986805
15500.000000 -297843 -292603 7670596 5981666
15750.000000 -297854 -292552 7661118 5975781
16000.000000 -297896 -292650 7650648 5979004
16250.000000 -297930 -292604 7651119 5975958
16500.000000 -297835 -292501 7654995 5971016
16750.000000 -297821 -292507 7654087 5967771
17000.000000 -297799 -292571 7649641 5961857
17250.000000 -297855 -292578 7659820 5962677
17500.000000 -297839 -292602 7670148 5968392
17750.000000 -297801 -292545 7675856 5972238
18000.000000 -297858 -292518 7683566 5973962
18250.000000 -297891 -292528 7671842 5978868
18500.000000 -297848 -292564 7657443 5976465
18750.000000 -297800 -292664 7654248 5966622
19000.000000 -297844 -292645 7648518 5956071
19250.000000 -297822 -292572 7635555 5953718
19500.000000 -297817 -292633 7624130 5951446
19750.000000 -297859 -292694 7617508 5949903
20000.000000 -297865 -292618 7603098 5945392
20250.000000 -297888 -292655 7591661 5933299
20500.000000 -297849 -292636 7580970 5923620
20750.000000 -297787 -292698 7566526 5916173
21000.000000 -297761 -292695 7558998 5908658
21250.000000 -297760 -292721 7548224 5894956
21500.000000 -297771 -292709 7538585 5886507
21750.000000 -297842 -292744 7526660 5885767
22000.000000 -297838 -292758 7525557 5883897
22250.000000 -297864 -292805 7519922 5885841
22500.000000 -297880 -292794 7513190 5880369
22750.000000 -297844 -292817 7508996 5876181
23000.000000 -297810 -292796 7512256 5884956
23250.000000 -297843 -292757 7513595 5895852
23500.000000 -297789 -292851 7511777 5899177
23750.000000 -297781 -292816 7509982 5903294
24000.000000 -297825 -292854 7514272 5898824
24250.000000 -297843 -292895 7517293 5894742
24500.000000 -297814 -292817 7516394 5893895
24750.000000 -297763 -292802 7519792 5897436
25000.000000 -297853 -292837 7523653 5898118
25250.000000 -297864 -292868 7533111 5902580
25500.000000 -297786 -292842 7540182 5898146
25750.000000 -297762 -292815 7541675 5907327
26000.000000 -297828 -292763 7543695 5914532
26250.000000 -297858 -292760 7546555 5925053
26500.000000 -297825 -292803 7549770 5929885
26750.000000 -297850 -292830 7546418 5926691
27000.000000 -297818 -292825 7546867 5921347
27250.000000 -297819 -292731 7545146 5922724
27500.000000 -297820 -292706 7542824 5923863
27750.000000 -297794 -292743 7545129 5920824
28000.000000 -297846 -292784 7540438 5924835
28250.000000 -297830 -292783 7534448 5928512
28500.000000 -297851 -292785 7543147 5923287
28750.000000 -297858 -292653 7555525 5925116
29000.000000 -297796 -292724 7568763 5930381
29250.000000 -297820 -292806 7571895 5934366
29500.000000 -297766 -292760 7579312 5941919
29750.000000 -297820 -292684 7592070 5951041
30000.000000 -297822 -292689 7602327 5951516
30250.000000 -297867 -292672 7617144 5956880
30500.000000 -297863 -292635 7624997 5962840
30750.000000 -297842 -292680 7637194 5972810
31000.000000 -297852 -292619 7655046 5982101
31250.000000 -297827 -292551 7664770 5998503
31500.000000 -297817 -292554 7666871 6011603
31750.000000 -297832 -292528 7669830 6011890
32000.000000 -297844 -292504 7673895 6011809
32250.000000 -297759 -292537 7681127 6014275
32500.000000 -297723 -292545 7687249 6017377
32750.000000 -297789 -292530 7692522 6012410
33000.000000 -297808 -292431 7701310 6011084
33250.000000 -297745 -292487 7702113 6006574
33500.000000 -297819 -292529 7693973 6008303
33750.000000 -297771 -292484 7688737 6013881
34000.000000 -297752 -292520 7688394 6013668
34250.000000 -297827 -292523 7687345 6012251
34500.000000 -297786 -292482 7684515 6002047
34750.000000 -297835 -292505 7689758 5993180
35000.000000 -297831 -292509 7686814 5996054
35250.000000 -297824 -292516 7680200 5992161
35500.000000 -297792 -292589 7684327 5987526
35750.000000 -297739 -292541 7674001 5990198
36000.000000 -297720 -292471 7671031 5990834
36250.000000 -297731 -292483 7666975 5983155
36500.000000 -297744 -292522 7663420 5980334
36750.000000 -297769 -292529 7659687 5974917
37000.000000 -297766 -292552 7661254 5975004
37250.000000 -297770 -292537 7663423 5982059
37500.000000 -297718 -292544 7669427 5986791
37750.000000 -297698 -292603 7671119 5991423
38000.000000 -297730 -292587 7678099 5983985
38250.000000 -297778 -292514 7677409 5979638
38500.000000 -297717 -292455 7660401 5981526
38750.000000 -297739 -292470 7649353 5978741
39000.000000 -297751 -292537 7643095 5969322
39250.000000 -297809 -292608 7631526 5970943
39500.000000 -297739 -292592 7628092 5964877
39750.000000 -297683 -292589 7618116 5950147
40000.000000 -297744 -292661 7604971 5934380
40250.000000 -297816 -292621 7589335 5927668
40500.000000 -297831 -292652 7587262 5922719
40750.000000 -297851 -292685 7577215 5914166
41000.000000 -297911 -292707 7560307 5901917
41250.000000 -297848 -292754 7559234 5900064
41500.000000 -297853 -292736 7552843 5900780
41750.000000 -297838 -292746 7539077 5889987
42000.000000 -297755 -292759 7525297 5876647
42250.000000 -297755 -292745 7514977 5878932
42500.000000 -297741 -292735 7516116 5879716
42750.000000 -297755 -292746 7518714 5878048
43000.000000 -297858 -292836 7513313 5879084
43250.000000 -297878 -292761 7517122 5881025
43500.000000 -297849 -292740 7522430 5881234
43750.000000 -297826 -292812 7526152 5884633
44000.000000 -297850 -292767 7523815 5891831
44250.000000 -297839 -292771 7525591 5894015
44500.000000 -297759 -292762 7522838 5890660
44750.000000 -297796 -292760 7526356 5887068
45000.000000 -297816 -292803 7527685 5891961
45250.000000 -297785 -292770 7530318 5902399
45500.000000 -297825 -292758 7534163 5912861
45750.000000 -297718 -292820 7534916 5924951
46000.000000 -297722 -292840 7545069 5923073
46250.000000 -297783 -292769 7547146 5923467
46500.000000 -297795 -292767 7548963 5926569
46750.000000 -297788 -292882 7555879 5931797
47000.000000 -297789 -292883 7554070 5935509
47250.000000 -297775 -292843 7550151 5924902
