t(us) chan[0] chan[1] chan[2] chan[3]
0.000000 -298334 -298725 1315382 62810
250.000000 -298333 -298675 1324155 60722
500.000000 -298318 -298715 1332923 67146
750.000000 -298298 -298662 1327625 74723
1000.000000 -298319 -298712 1322935 77656
1250.000000 -298296 -298744 1325348 82382
1500.000000 -298268 -298705 1325637 85554
1750.000000 -298376 -298716 1332269 89575
2000.000000 -298379 -298714 1336554 88322
2250.000000 -298343 -298760 1336379 93110
2500.000000 -298263 -298703 1335484 89179
2750.000000 -298326 -298580 1339550 86704
3000.000000 -298317 -298629 1335494 81451
3250.000000 -298328 -298684 1340119 76023
3500.000000 -298350 -298656 1340252 77760
3750.000000 -298362 -298695 1332661 79405
4000.000000 -298290 -298617 1334008 76458
4250.000000 -298297 -298643 1332568 74594
4500.000000 -298334 -298639 1334113 76041
4750.000000 -298342 -298643 1331543 76486
5000.000000 -298332 -298646 1324030 76939
5250.000000 -298311 -298581 1329608 88981
5500.000000 -298318 -298650 1340909 92889
5750.000000 -298292 -298667 1345394 90516
6000.000000 -298328 -298578 1342814 95978
6250.000000 -298350 -298627 1341152 96369
6500.000000 -298260 -298612 1346641 97594
6750.000000 -298239 -298628 1351184 103670
7000.000000 -298273 -298672 1356155 104623
7250.000000 -298337 -298661 1350751 105409
7500.000000 -298371 -298699 1346877 109970
7750.000000 -298365 -298721 1353034 116591
8000.000000 -298368 -298699 1360986 118580
8250.000000 -298357 -298648 1358607 113269
8500.000000 -298349 -298648 1353418 112026
8750.000000 -298348 -298658 1360719 124193
9000.000000 -298294 -298644 1361694 120517
9250.000000 -298310 -298648 1353016 119668
9500.000000 -298398 -298670 1348675 118931
9750.000000 -298429 -298692 1362453 113987
10000.000000 -298473 -298676 1367476 118422
10250.000000 -298415 -298656 1366494 121582
10500.000000 -298346 -298696 1359403 116280
10750.000000 -298327 -298696 1356745 107057
11000.000000 -298373 -298673 1365782 104660
11250.000000 -298383 -298643 1359579 109129
11500.000000 -298314 -298702 1353299 109132
11750.000000 -298370 -298676 1351205 108543
12000.000000 -298394 -298667 1352388 103352
12250.000000 -298387 -298672 1353664 104364
12500.000000 -298373 -298589 1354943 103625
12750.000000 -298385 -298633 1359893 100888
13000.000000 -298380 -298715 1355078 107550
13250.000000 -298319 -298628 1351113 104669
13500.000000 -298342 -298624 1346390 105816
13750.000000 -298307 -298641 1348557 108531
14000.000000 -298375 -298656 1352627 121294
14250.000000 -298333 -298655 1357609 121310
14500.000000 -298346 -298655 1354635 113943
14750.000000 -298334 -298664 1352813 110711
15000.000000 -298368 -298670 1356078 109513
15250.000000 -298312 -298719 1353003 100843
15500.000000 -298384 -298747 1349290 97284
15750.000000 -298390 -298710 1350899 92446
16000.000000 -298407 -298638 1345110 93548
16250.000000 -298378 -298684 1346778 89739
16500.000000 -298347 -298726 1343361 81933
16750.000000 -298311 -298706 1338804 85899
17000.000000 -298376 -298662 1334777 87481
17250.000000 -298443 -298676 1335425 80852
17500.000000 -298381 -298749 1332747 71054
17750.000000 -298319 -298686 1335760 69009
18000.000000 -298340 -298666 1332911 66724
18250.000000 -298361 -298770 1323819 73440
18500.000000 -298417 -298782 1318822 73634
18750.000000 -298407 -298710 1325516 69504
19000.000000 -298396 -298704 1336037 63911
19250.000000 -298340 -298662 1328147 64546
19500.000000 -298323 -298668 1323423 64297
19750.000000 -298347 -298667 1323298 64076
20000.000000 -298376 -298717 1327739 68869
20250.000000 -298380 -298755 1334475 64714
20500.000000 -298335 -298739 1328788 67963
20750.000000 -298424 -298691 1326859 67004
21000.000000 -298425 -298725 1332001 70112
21250.000000 -298370 -298745 1327661 73571
21500.000000 -298323 -298663 1326052 71457
