t(us) chan[0] chan[1] chan[2] chan[3]
0.000000 -297789 -293584 6765800 5229272
250.000000 -297782 -293578 6775803 5237005
500.000000 -297795 -293551 6784256 5252550
750.000000 -297813 -293540 6796807 5260882
1000.000000 -297818 -293518 6804763 5264062
1250.000000 -297779 -293533 6810893 5260580
1500.000000 -297828 -293544 6823977 5267206
1750.000000 -297835 -293511 6829291 5270976
2000.000000 -297848 -293460 6836711 5283218
2250.000000 -297829 -293486 6839870 5288443
2500.000000 -297856 -293500 6840270 5288657
2750.000000 -297892 -293481 6844284 5287486
3000.000000 -297859 -293425 6847078 5286809
3250.000000 -297829 -293457 6845045 5292485
3500.000000 -297809 -293530 6840537 5288087
3750.000000 -297831 -293461 6833846 5287269
4000.000000 -297802 -293506 6836459 5285702
4250.000000 -297782 -293443 6836066 5279272
4500.000000 -297832 -293444 6831797 5275130
4750.000000 -297833 -293526 6827278 5274234
5000.000000 -297847 -293490 6821051 5270954
5250.000000 -297879 -293524 6814869 5267804
5500.000000 -297888 -293538 6815114 5262853
5750.000000 -297845 -293569 6811166 5259147
6000.000000 -297824 -293604 6812987 5259658
6250.000000 -297907 -293579 6810330 5260476
6500.000000 -297922 -293597 6798428 5254851
6750.000000 -297862 -293514 6797281 5255845
7000.000000 -297830 -293457 6803654 5262193
7250.000000 -297839 -293554 6809360 5266242
7500.000000 -297900 -293601 6809754 5270813
7750.000000 -297895 -293595 6813588 5275368
8000.000000 -297921 -293601 6807733 5273529
8250.000000 -297953 -293642 6800622 5264580
8500.000000 -297959 -293616 6790698 5256869
8750.000000 -297910 -293597 6784505 5250877
9000.000000 -297888 -293588 6774293 5241036
9250.000000 -297876 -293591 6760771 5232437
9500.000000 -297822 -293602 6747948 5221572
9750.000000 -297875 -293555 6738571 5218574
10000.000000 -297865 -293581 6728528 5214408
10250.000000 -297813 -293609 6713488 5204269
10500.000000 -297816 -293674 6706601 5189946
10750.000000 -297816 -293691 6694940 5177418
11000.000000 -297814 -293619 6693713 5171129
11250.000000 -297819 -293657 6688374 5165852
11500.000000 -297836 -293658 6677214 5156326
11750.000000 -297849 -293693 6664464 5154337
12000.000000 -297826 -293718 6658349 5149260
12250.000000 -297875 -293720 6655113 5143065
12500.000000 -297855 -293768 6654290 5135849
12750.000000 -297843 -293841 6662591 5137077
13000.000000 -297844 -293828 6659295 5142301
13250.000000 -297845 -293782 6658199 5145817
13500.000000 -297810 -293778 6660384 5143042
13750.000000 -297847 -293796 6655087 5147233
14000.000000 -297842 -293750 6656599 5144104
14250.000000 -297852 -293772 6660989 5146103
14500.000000 -297882 -293797 6672988 5146526
14750.000000 -297905 -293758 6670293 5155904
15000.000000 -297843 -293742 6667621 5161658
15250.000000 -297900 -293754 6674898 5160627
15500.000000 -297860 -293693 6686306 5163607
15750.000000 -297910 -293713 6690895 5165749
16000.000000 -297880 -293774 6690550 5174858
16250.000000 -297882 -293778 6688264 5173532
16500.000000 -297872 -293715 6691795 5170542
16750.000000 -297904 -293728 6695102 5168484
17000.000000 -297963 -293721 6687543 5165050
17250.000000 -297894 -293788 6687757 5161015
17500.000000 -297884 -293795 6677034 5158147
17750.000000 -297920 -293768 6672986 5163580
18000.000000 -297812 -293781 6678601 5156687
18250.000000 -297861 -293777 6685487 5160367
18500.000000 -297888 -293725 6685284 5166713
18750.000000 -297879 -293759 6695504 5171435
19000.000000 -297876 -293686 6714885 5180733
19250.000000 -297871 -293657 6726466 5191498
19500.000000 -297914 -293732 6742611 5203996
19750.000000 -297898 -293661 6751036 5214893
20000.000000 -297897 -293690 6768255 5217669
20250.000000 -297862 -293638 6779026 5227379
20500.000000 -297875 -293589 6787115 5235851
20750.000000 -297887 -293572 6788126 5249010
21000.000000 -297906 -293600 6804168 5262880
21250.000000 -297891 -293576 6813068 5261779
21500.000000 -297858 -293560 6819583 5271379
21750.000000 -297848 -293549 6825833 5284832
22000.000000 -297849 -293529 6829421 5293331
22250.000000 -297843 -293516 6830540 5287139
22500.000000 -297822 -293502 6838021 5285398
22750.000000 -297849 -293513 6841505 5289037
23000.000000 -297887 -293496 6842162 5294875
23250.000000 -297891 -293528 6840653 5292046
23500.000000 -297912 -293538 6834527 5289554
23750.000000 -297921 -293482 6831010 5285710
24000.000000 -297856 -293513 6835300 5274861
24250.000000 -297843 -293467 6834703 5275806
24500.000000 -297831 -293490 6824922 5272945
24750.000000 -297844 -293519 6812638 5269771
25000.000000 -297909 -293495 6812707 5267691
25250.000000 -297853 -293461 6816818 5265916
25500.000000 -297915 -293500 6809603 5268233
25750.000000 -297895 -293514 6802258 5266919
26000.000000 -297838 -293491 6799571 5266985
26250.000000 -297824 -293532 6798310 5270532
26500.000000 -297861 -293528 6801647 5265613
26750.000000 -297896 -293562 6804275 5252717
27000.000000 -297863 -293571 6801554 5251510
27250.000000 -297829 -293568 6804234 5262042
27500.000000 -297816 -293581 6816460 5282275
27750.000000 -297862 -293584 6817919 5284272
28000.000000 -297916 -293577 6823482 5277080
28250.000000 -297786 -293545 6813659 5262806
28500.000000 -297792 -293554 6805517 5254185
28750.000000 -297849 -293519 6797350 5254002
29000.000000 -297861 -293503 6785144 5253439
29250.000000 -297953 -293525 6771068 5241222
29500.000000 -297928 -293579 6752568 5224067
29750.000000 -297849 -293590 6738672 5213986
30000.000000 -297831 -293591 6729363 5213367
30250.000000 -297880 -293611 6715532 5202952
30500.000000 -297836 -293653 6711053 5195060
30750.000000 -297799 -293667 6706023 5191745
31000.000000 -297836 -293651 6692579 5181569
31250.000000 -297872 -293699 6676526 5172039
31500.000000 -297883 -293723 6667021 5164999
31750.000000 -297834 -293663 6661813 5156246
32000.000000 -297801 -293704 6657775 5146025
32250.000000 -297765 -293752 6649167 5139801
32500.000000 -297786 -293752 6646374 5144516
32750.000000 -297862 -293738 6652713 5150820
33000.000000 -297873 -293733 6658026 5154686
33250.000000 -297889 -293747 6657059 5155474
33500.000000 -297935 -293678 6656276 5152472
33750.000000 -297901 -293728 6663337 5148145
34000.000000 -297890 -293714 6665583 5148713
34250.000000 -297881 -293730 6661357 5146606
34500.000000 -297873 -293752 6660906 5151365
34750.000000 -297861 -293777 6669681 5156287
35000.000000 -297928 -293723 6677436 5156491
35250.000000 -297861 -293738 6673724 5156964
35500.000000 -297900 -293743 6679482 5165940
35750.000000 -297957 -293715 6690943 5164927
36000.000000 -297913 -293695 6695202 5155513
36250.000000 -297902 -293701 6696843 5164521
36500.000000 -297944 -293684 6694866 5172529
36750.000000 -297932 -293722 6695019 5176375
37000.000000 -297796 -293713 6695449 5172131
37250.000000 -297833 -293725 6686819 5167505
37500.000000 -297827 -293709 6678284 5166127
37750.000000 -297862 -293739 6677906 5164822
38000.000000 -297892 -293742 6686915 5169524
38250.000000 -297890 -293760 6696314 5173271
38500.000000 -297911 -293773 6702593 5177585
38750.000000 -297946 -293755 6706856 5178679
39000.000000 -297905 -293711 6711961 5180097
39250.000000 -297854 -293727 6723795 5189495
39500.000000 -297826 -293704 6731714 5202031
39750.000000 -297799 -293680 6748389 5207838
40000.000000 -297850 -293588 6762942 5216158
40250.000000 -297842 -293555 6771520 5221479
40500.000000 -297836 -293546 6778427 5234383
40750.000000 -297819 -293566 6788494 5242645
41000.000000 -297802 -293592 6792769 5252067
41250.000000 -297792 -293591 6806428 5259967
41500.000000 -297837 -293548 6815651 5272236
41750.000000 -297937 -293515 6821916 5278313
42000.000000 -297841 -293526 6822996 5272940
42250.000000 -297863 -293550 6824016 5280548
42500.000000 -297851 -293564 6828469 5285903
42750.000000 -297843 -293523 6829942 5288058
43000.000000 -297779 -293529 6831489 5285890
43250.000000 -297855 -293539 6830441 5280695
43500.000000 -297917 -293479 6826063 5281999
43750.000000 -297839 -293583 6835677 5279507
44000.000000 -297825 -293571 6831317 5269512
44250.000000 -297805 -293497 6831444 5265137
44500.000000 -297843 -293510 6821031 5275052
44750.000000 -297913 -293468 6819143 5271923
45000.000000 -297883 -293533 6819737 5266621
45250.000000 -297903 -293526 6818343 5266695
45500.000000 -297898 -293536 6811995 5263410
45750.000000 -297840 -293550 6812038 5264702
46000.000000 -297828 -293611 6808531 5266562
46250.000000 -297849 -293564 6800975 5262059
46500.000000 -297847 -293539 6790791 5263620
46750.000000 -297883 -293550 6796359 5261120
47000.000000 -297921 -293511 6799226 5262092
47250.000000 -297820 -293505 6797351 5269353
47500.000000 -297834 -293581 6808905 5280553
47750.000000 -297888 -293566 6817792 5280965
48000.000000 -297961 -293506 6811259 5272162
48250.000000 -297921 -293518 6809307 5266366
48500.000000 -297842 -293557 6810919 5258094
48750.000000 -297800 -293552 6800126 5254541
49000.000000 -297828 -293615 6789333 5252528
49250.000000 -297846 -293624 6776295 5244474
49500.000000 -297840 -293621 6750833 5232317
49750.000000 -297834 -293595 6735456 5229435
50000.000000 -297894 -293579 6726090 5227528
50250.000000 -297876 -293523 6724409 5223734
50500.000000 -297820 -293606 6713050 5213420
50750.000000 -297872 -293668 6698798 5200593
51000.000000 -297858 -293686 6691817 5195029
51250.000000 -297908 -293695 6677991 5188642
51500.000000 -297881 -293725 6669157 5175148
51750.000000 -297817 -293784 6669489 5166030
52000.000000 -297932 -293809 6659225 5164208
52250.000000 -297958 -293820 6657487 5159612
52500.000000 -297981 -293762 6659216 5151017
52750.000000 -297968 -293711 6659299 5158628
53000.000000 -297913 -293735 6661971 5166307
53250.000000 -297847 -293756 6661270 5161989
53500.000000 -297871 -293722 6657072 5153590
53750.000000 -297904 -293692 6649644 5166514
54000.000000 -297881 -293669 6653561 5172273
54250.000000 -297887 -293761 6660302 5168127
54500.000000 -297888 -293757 6669283 5168561
54750.000000 -297856 -293694 6673759 5170244
55000.000000 -297883 -293673 6671203 5168255
55250.000000 -297919 -293690 6678555 5165804
55500.000000 -297847 -293691 6687237 5161885
55750.000000 -297840 -293686 6690874 5170975
56000.000000 -297857 -293705 6688941 5180949
56250.000000 -297843 -293727 6691431 5179705
56500.000000 -297870 -293631 6699406 5178475
56750.000000 -297887 -293663 6703803 5180779
57000.000000 -297862 -293720 6699056 5178591
57250.000000 -297839 -293644 6687199 5175220
57500.000000 -297891 -293616 6683747 5167735
57750.000000 -297857 -293654 6676295 5166235
58000.000000 -297831 -293678 6675163 5165005
58250.000000 -297843 -293732 6683837 5161821
58500.000000 -297832 -293690 6694991 5163286
58750.000000 -297804 -293711 6702006 5174558
59000.000000 -297842 -293652 6704657 5184128
59250.000000 -297843 -293699 6711868 5189473
59500.000000 -297786 -293729 6727374 5205008
59750.000000 -297775 -293705 6737382 5212307
60000.000000 -297819 -293667 6752605 5219610
60250.000000 -297871 -293605 6764642 5224139
60500.000000 -297902 -293619 6777040 5235983
60750.000000 -297904 -293574 6784721 5245056
61000.000000 -297876 -293590 6788186 5249825
61250.000000 -297830 -293611 6798429 5255367
61500.000000 -297869 -293556 6815298 5263551
61750.000000 -297882 -293508 6829560 5270629
62000.000000 -297817 -293544 6839825 5269474
62250.000000 -297780 -293498 6844973 5267043
62500.000000 -297784 -293527 6840583 5267203
62750.000000 -297780 -293498 6834627 5271521
63000.000000 -297813 -293471 6839284 5275337
63250.000000 -297844 -293485 6840023 5276105
63500.000000 -297798 -293434 6840153 5277268
63750.000000 -297831 -293416 6838837 5275666
64000.000000 -297884 -293470 6831868 5276634
64250.000000 -297889 -293513 6826055 5273990
64500.000000 -297854 -293465 6829431 5267550
64750.000000 -297901 -293503 6830120 5269675
65000.000000 -297878 -293508 6828088 5273633
65250.000000 -297870 -293489 6826449 5276230
65500.000000 -297907 -293507 6823978 5265731
65750.000000 -297924 -293554 6814707 5257067
66000.000000 -297878 -293560 6811481 5250280
