t(us) chan[0] chan[1] chan[2] chan[3]
0.000000 -297983 -296407 4347737 2771710
250.000000 -298011 -296382 4355205 2795546
500.000000 -298022 -296337 4365237 2815959
750.000000 -298010 -296350 4373400 2832872
1000.000000 -298010 -296381 4380969 2852881
1250.000000 -298033 -296321 4386557 2865896
1500.000000 -298074 -296316 4391653 2879910
1750.000000 -298019 -296315 4390638 2895712
2000.000000 -297983 -296288 4395763 2912152
2250.000000 -297944 -296300 4406646 2923691
2500.000000 -298047 -296336 4402994 2925064
2750.000000 -298130 -296257 4397018 2932490
3000.000000 -298073 -296234 4401314 2934506
3250.000000 -298032 -296231 4404725 2928078
3500.000000 -298115 -296253 4411335 2927722
3750.000000 -298139 -296248 4413139 2930471
4000.000000 -298045 -296260 4411654 2928674
4250.000000 -298065 -296250 4409235 2926823
4500.000000 -298081 -296192 4415290 2918823
4750.000000 -298050 -296228 4414183 2914932
5000.000000 -298065 -296177 4410998 2913121
5250.000000 -298081 -296176 4406697 2914860
5500.000000 -298063 -296205 4398048 2911332
5750.000000 -298054 -296237 4396879 2906281
6000.000000 -298008 -296265 4389027 2895462
6250.000000 -297999 -296222 4389660 2882780
6500.000000 -298007 -296252 4394787 2875204
6750.000000 -298025 -296331 4388552 2868796
7000.000000 -298037 -296337 4380796 2865684
7250.000000 -298016 -296321 4382642 2862185
7500.000000 -298047 -296355 4389435 2881586
7750.000000 -298025 -296264 4388154 2899492
8000.000000 -298020 -296223 4383956 2892802
8250.000000 -297989 -296260 4388119 2888454
8500.000000 -298033 -296307 4391971 2881274
8750.000000 -298053 -296283 4392748 2874189
9000.000000 -297998 -296327 4390019 2861724
9250.000000 -297994 -296359 4382130 2844869
9500.000000 -297974 -296323 4375430 2827949
9750.000000 -297963 -296345 4371530 2806208
10000.000000 -298053 -296358 4362515 2784979
10250.000000 -298037 -296337 4352812 2770701
10500.000000 -297991 -296361 4341602 2756097
10750.000000 -298069 -296366 4333934 2736448
11000.000000 -298089 -296385 4327721 2715215
11250.000000 -298048 -296369 4326934 2690724
11500.000000 -297999 -296345 4324763 2672946
11750.000000 -297968 -296367 4321255 2665540
12000.000000 -298058 -296394 4315522 2652057
12250.000000 -298048 -296373 4308466 2641734
12500.000000 -297937 -296394 4301360 2634807
12750.000000 -297966 -296419 4299373 2633972
13000.000000 -298022 -296426 4303580 2636850
13250.000000 -297988 -296452 4308593 2633840
13500.000000 -298006 -296376 4313586 2623072
13750.000000 -298017 -296397 4307912 2622677
14000.000000 -298038 -296415 4304972 2626782
14250.000000 -297982 -296441 4310498 2626026
14500.000000 -297939 -296390 4310736 2631805
14750.000000 -298010 -296437 4305301 2638959
15000.000000 -297987 -296402 4307451 2641517
15250.000000 -297974 -296327 4306677 2644423
15500.000000 -298007 -296381 4309721 2648480
15750.000000 -298010 -296385 4311144 2655344
16000.000000 -297939 -296411 4317438 2660167
16250.000000 -297990 -296410 4323368 2673239
16500.000000 -298013 -296398 4326809 2686337
16750.000000 -297976 -296423 4325019 2687328
17000.000000 -297995 -296392 4318997 2686105
17250.000000 -298045 -296411 4315263 2680670
17500.000000 -298016 -296450 4314557 2673202
17750.000000 -298033 -296426 4310279 2666135
18000.000000 -297978 -296462 4308183 2654682
18250.000000 -298004 -296445 4303468 2655593
18500.000000 -298015 -296387 4311147 2666371
18750.000000 -297908 -296430 4319841 2676255
19000.000000 -297923 -296412 4332359 2700118
19250.000000 -297961 -296422 4335673 2721199
19500.000000 -297971 -296361 4333472 2734766
19750.000000 -298022 -296311 4340895 2746276
20000.000000 -298016 -296350 4350435 2763452
20250.000000 -298000 -296336 4350602 2785148
20500.000000 -298026 -296357 4354346 2799696
20750.000000 -298020 -296394 4365230 2822255
21000.000000 -298006 -296384 4374945 2836122
21250.000000 -298021 -296308 4384038 2852257
21500.000000 -297995 -296226 4388338 2872933
21750.000000 -298024 -296241 4392985 2888188
22000.000000 -298057 -296210 4403411 2896852
22250.000000 -298059 -296206 4406394 2910823
22500.000000 -298048 -296285 4396288 2916017
22750.000000 -297989 -296194 4400702 2922465
23000.000000 -297987 -296229 4408317 2926164
23250.000000 -298019 -296225 4410327 2931276
23500.000000 -298061 -296181 4398565 2934745
23750.000000 -298040 -296217 4393391 2930711
24000.000000 -297997 -296269 4398645 2918424
24250.000000 -297984 -296287 4403022 2912101
24500.000000 -297967 -296216 4402382 2918867
24750.000000 -298010 -296230 4400304 2912373
25000.000000 -297974 -296230 4396388 2907123
25250.000000 -298004 -296268 4394833 2907223
25500.000000 -298010 -296238 4398748 2904350
25750.000000 -298023 -296207 4401487 2903091
26000.000000 -298061 -296175 4397080 2896324
26250.000000 -298033 -296276 4391081 2882457
26500.000000 -298090 -296380 4385922 2874478
26750.000000 -298120 -296325 4381945 2874494
27000.000000 -298076 -296316 4385907 2869759
27250.000000 -298018 -296274 4387643 2867976
27500.000000 -298041 -296232 4389060 2874530
27750.000000 -298023 -296280 4390813 2878395
28000.000000 -298056 -296265 4393027 2880023
28250.000000 -298077 -296297 4393158 2886070
28500.000000 -298057 -296315 4390414 2877852
28750.000000 -298050 -296304 4386220 2869703
29000.000000 -298008 -296263 4382604 2854738
29250.000000 -298003 -296270 4376971 2839210
29500.000000 -298013 -296271 4376234 2825787
29750.000000 -298070 -296335 4369557 2810959
30000.000000 -298076 -296323 4355263 2785076
30250.000000 -298016 -296294 4353263 2761555
30500.000000 -298074 -296338 4348205 2736431
30750.000000 -298067 -296395 4345729 2710900
31000.000000 -298052 -296331 4346020 2697411
31250.000000 -298046 -296361 4336699 2682625
31500.000000 -297997 -296335 4326859 2668038
31750.000000 -298043 -296388 4317158 2661107
32000.000000 -298083 -296421 4312494 2651053
32250.000000 -298042 -296421 4313807 2638653
