t(us) chan[0] chan[1] chan[2] chan[3]
0.000000 -298195 -297644 3901462 2399467
250.000000 -298206 -297661 3902089 2404557
500.000000 -298149 -297598 3913149 2398359
750.000000 -298180 -297632 3909020 2395109
1000.000000 -298251 -297651 3902956 2395058
1250.000000 -298258 -297711 3902760 2397482
1500.000000 -298256 -297765 3900687 2399930
1750.000000 -298243 -297771 3902433 2396187
2000.000000 -298218 -297715 3905604 2394977
2250.000000 -298217 -297672 3901235 2391426
2500.000000 -298222 -297700 3895485 2376467
2750.000000 -298233 -297700 3895402 2366479
3000.000000 -298318 -297652 3894876 2360765
3250.000000 -298231 -297700 3892729 2357340
3500.000000 -298289 -297731 3888151 2353203
3750.000000 -298221 -297689 3889936 2345706
4000.000000 -298161 -297719 3887537 2342981
4250.000000 -298143 -297702 3884247 2343017
4500.000000 -298211 -297728 3886449 2347105
4750.000000 -298192 -297736 3895500 2345141
5000.000000 -298205 -297657 3890688 2347276
5250.000000 -298265 -297666 3883465 2352982
5500.000000 -298224 -297695 3887432 2351879
5750.000000 -298210 -297674 3892163 2343399
6000.000000 -298186 -297653 3889960 2333354
6250.000000 -298246 -297719 3883030 2320606
6500.000000 -298327 -297710 3874942 2308128
6750.000000 -298272 -297684 3866321 2293509
7000.000000 -298221 -297784 3861169 2266256
7250.000000 -298200 -297784 3857373 2251216
7500.000000 -298234 -297766 3851579 2235812
7750.000000 -298234 -297779 3838687 2212277
8000.000000 -298185 -297742 3828927 2193469
8250.000000 -298211 -297721 3819206 2178681
8500.000000 -298210 -297799 3815512 2168496
8750.000000 -298227 -297839 3816216 2148914
9000.000000 -298194 -297796 3819016 2127836
9250.000000 -298208 -297791 3812536 2111287
9500.000000 -298192 -297815 3813455 2110374
9750.000000 -298184 -297830 3811001 2108078
10000.000000 -298319 -297742 3800666 2102829
10250.000000 -298252 -297731 3799146 2093565
10500.000000 -298191 -297746 3802057 2098923
10750.000000 -298178 -297770 3799508 2109157
11000.000000 -298148 -297793 3802103 2106332
11250.000000 -298192 -297802 3806209 2101452
11500.000000 -298238 -297810 3804358 2100372
11750.000000 -298229 -297838 3798105 2107500
12000.000000 -298208 -297840 3797944 2111133
12250.000000 -298225 -297798 3797651 2108239
12500.000000 -298153 -297764 3796907 2115329
12750.000000 -298055 -297773 3804626 2132392
13000.000000 -298140 -297842 3803348 2139749
13250.000000 -298147 -297872 3803898 2137666
13500.000000 -298168 -297884 3812455 2139310
13750.000000 -298237 -297863 3812464 2149347
14000.000000 -298258 -297752 3816764 2161329
14250.000000 -298163 -297754 3826657 2165792
14500.000000 -298160 -297789 3820764 2160718
14750.000000 -298220 -297837 3810709 2152850
15000.000000 -298227 -297842 3809810 2142595
15250.000000 -298185 -297740 3807163 2135124
15500.000000 -298169 -297755 3805431 2135402
15750.000000 -298127 -297802 3807779 2142500
16000.000000 -298150 -297709 3817290 2165031
16250.000000 -298183 -297782 3828059 2185635
16500.000000 -298185 -297823 3832992 2193263
16750.000000 -298221 -297772 3839908 2208319
17000.000000 -298271 -297749 3846195 2233645
17250.000000 -298271 -297727 3850614 2255334
17500.000000 -298203 -297705 3854663 2271001
17750.000000 -298202 -297693 3865803 2286673
18000.000000 -298228 -297654 3877015 2301811
18250.000000 -298234 -297682 3882352 2321441
18500.000000 -298229 -297692 3885761 2342396
18750.000000 -298203 -297706 3889635 2353421
19000.000000 -298221 -297700 3905106 2362457
19250.000000 -298191 -297673 3906236 2371752
19500.000000 -298182 -297665 3902507 2387552
19750.000000 -298224 -297662 3898132 2401295
20000.000000 -298255 -297706 3910450 2409232
20250.000000 -298267 -297712 3912431 2410533
20500.000000 -298269 -297660 3906386 2410480
20750.000000 -298259 -297672 3910687 2410383
21000.000000 -298186 -297684 3907862 2405209
21250.000000 -298117 -297708 3896577 2404063
21500.000000 -298241 -297687 3898094 2407378
21750.000000 -298153 -297597 3899250 2400466
22000.000000 -298142 -297640 3899405 2396851
22250.000000 -298178 -297670 3899145 2393301
22500.000000 -298153 -297670 3895916 2390757
22750.000000 -298219 -297649 3895523 2379031
23000.000000 -298232 -297699 3890711 2371942
23250.000000 -298276 -297685 3888363 2361359
23500.000000 -298203 -297705 3885094 2350115
23750.000000 -298235 -297650 3884363 2345670
24000.000000 -298203 -297625 3882378 2336029
24250.000000 -298214 -297699 3881644 2329393
24500.000000 -298148 -297720 3886743 2338388
24750.000000 -298164 -297702 3892457 2352206
25000.000000 -298172 -297673 3895069 2357039
25250.000000 -298203 -297675 3886620 2356973
25500.000000 -298220 -297608 3888617 2356201
25750.000000 -298230 -297711 3892937 2347740
26000.000000 -298227 -297650 3880828 2338949
26250.000000 -298218 -297665 3870513 2327435
26500.000000 -298242 -297735 3870769 2312562
26750.000000 -298246 -297718 3870690 2293700
27000.000000 -298273 -297735 3870126 2273849
27250.000000 -298191 -297695 3861406 2261695
27500.000000 -298147 -297671 3858096 2240720
27750.000000 -298213 -297761 3849715 2211909
28000.000000 -298275 -297799 3841935 2194884
28250.000000 -298232 -297754 3837129 2181173
28500.000000 -298126 -297637 3825328 2160759
28750.000000 -298153 -297722 3816528 2145149
29000.000000 -298255 -297741 3816274 2133634
29250.000000 -298259 -297805 3816555 2116310
29500.000000 -298217 -297767 3814052 2107450
29750.000000 -298198 -297751 3807207 2097280
30000.000000 -298237 -297783 3804645 2097493
30250.000000 -298228 -297778 3808483 2095991
30500.000000 -298228 -297782 3806404 2094519
30750.000000 -298159 -297813 3805363 2095720
31000.000000 -298268 -297786 3806030 2104648
31250.000000 -298260 -297781 3807907 2111138
31500.000000 -298273 -297793 3802293 2107452
31750.000000 -298216 -297745 3816943 2104286
32000.000000 -298179 -297770 3827461 2105972
32250.000000 -298247 -297734 3816694 2110896
32500.000000 -298190 -297820 3815077 2116872
32750.000000 -298202 -297784 3817171 2123904
33000.000000 -298229 -297756 3814522 2133277
33250.000000 -298226 -297739 3815481 2144737
33500.000000 -298256 -297762 3818849 2143267
33750.000000 -298215 -297766 3815669 2148097
34000.000000 -298174 -297712 3819022 2156208
34250.000000 -298195 -297746 3819780 2162458
34500.000000 -298239 -297811 3821230 2158727
34750.000000 -298249 -297795 3813141 2149469
35000.000000 -298284 -297802 3810849 2142636
35250.000000 -298228 -297842 3805418 2141820
35500.000000 -298204 -297874 3807866 2139937
35750.000000 -298291 -297839 3807724 2145028
36000.000000 -298220 -297851 3816343 2154852
36250.000000 -298233 -297850 3827245 2168271
36500.000000 -298287 -297806 3832809 2175946
36750.000000 -298278 -297847 3832508 2201657
37000.000000 -298320 -297823 3839373 2223538
37250.000000 -298276 -297843 3845033 2243143
37500.000000 -298272 -297797 3854014 2257480
37750.000000 -298223 -297761 3857914 2275642
38000.000000 -298248 -297750 3869318 2295431
38250.000000 -298250 -297741 3879504 2308604
38500.000000 -298266 -297806 3888435 2322825
38750.000000 -298268 -297850 3888896 2349330
39000.000000 -298238 -297729 3889717 2364269
39250.000000 -298202 -297794 3889801 2375106
39500.000000 -298276 -297760 3892143 2385178
39750.000000 -298321 -297758 3896394 2389605
40000.000000 -298237 -297764 3895703 2396346
40250.000000 -298267 -297638 3902044 2404294
40500.000000 -298219 -297616 3905264 2407871
40750.000000 -298189 -297703 3912349 2401294
41000.000000 -298240 -297737 3903405 2395721
41250.000000 -298224 -297706 3903232 2394691
41500.000000 -298198 -297661 3902587 2393288
41750.000000 -298197 -297671 3898220 2387288
42000.000000 -298234 -297685 3897347 2391025
42250.000000 -298208 -297703 3892455 2386383
42500.000000 -298262 -297654 3898267 2381505
42750.000000 -298287 -297667 3901160 2372499
43000.000000 -298253 -297641 3890962 2366336
43250.000000 -298208 -297655 3895786 2358347
43500.000000 -298173 -297698 3892933 2354434
43750.000000 -298205 -297661 3888035 2352261
44000.000000 -298209 -297605 3885336 2345438
44250.000000 -298196 -297673 3885892 2342969
44500.000000 -298202 -297687 3885222 2345753
44750.000000 -298180 -297675 3881922 2353303
45000.000000 -298236 -297740 3890387 2358650
45250.000000 -298279 -297708 3890488 2359376
45500.000000 -298261 -297673 3890344 2354468
45750.000000 -298180 -297734 3893231 2346957
46000.000000 -298198 -297687 3885767 2341689
46250.000000 -298220 -297651 3880190 2326566
46500.000000 -298234 -297668 3873656 2311214
46750.000000 -298296 -297732 3869885 2298085
47000.000000 -298284 -297713 3863820 2280936
47250.000000 -298308 -297756 3849520 2271213
47500.000000 -298336 -297791 3848303 2250906
47750.000000 -298257 -297738 3846285 2230999
48000.000000 -298240 -297746 3837210 2208005
48250.000000 -298212 -297771 3827086 2189752
48500.000000 -298238 -297775 3827512 2173725
48750.000000 -298186 -297798 3829768 2157423
49000.000000 -298245 -297900 3818727 2138419
49250.000000 -298240 -297799 3809889 2125171
49500.000000 -298157 -297759 3803928 2119433
49750.000000 -298062 -297777 3798348 2115341
50000.000000 -298156 -297774 3791404 2107686
50250.000000 -298187 -297800 3794119 2097545
50500.000000 -298193 -297819 3802504 2087757
50750.000000 -298251 -297769 3806608 2093559
51000.000000 -298208 -297771 3807018 2097964
